client_id,lambda_k,q,p,x,mode,cost,utility
0,0.42148337595907936,0.0,0.13769015627181413,1.0,zero,0.005190918891447392,0.0
1,0.5028465632955335,0.0,0.0995649550484944,1.0,zero,0.003564757273919595,-4.336808689942018e-19
2,0.46661338205069647,0.0,0.16362205172593866,1.0,zero,0.006369533770271249,8.673617379884035e-19
3,0.32007452258966,0.0,0.10701632021861959,1.0,zero,0.002603707070919015,0.0
4,0.4768595041322315,0.0,0.03531739839646926,1.0,zero,0.00037259855308275063,5.421010862427522e-20
5,0.40199370409234003,0.0,0.1635534814877778,1.0,zero,0.009320912909988455,0.0
6,0.44250117536436295,0.0,0.14081208732671047,1.0,zero,0.0027829162192002216,0.0
7,0.4581842279655401,0.0,0.1490281229203316,1.0,zero,0.002030756554994385,0.0
8,0.4538883806038426,0.0,0.03942459046120531,1.0,zero,0.001961044837191121,0.0
9,0.5184599694033656,0.0,0.10494399468303363,1.0,zero,0.0016516435696531445,0.0
10,0.2838983050847458,0.0,0.06056656825266288,1.0,zero,0.00409430001388001,0.0
11,0.5437751004016065,0.0,0.2047429876769117,1.0,zero,0.0038764672333495283,-4.336808689942018e-19
12,0.552475581003705,0.0,0.1518305100750767,1.0,zero,0.003362286645612573,0.0
13,0.45734216951517265,0.0,0.15488313348262778,1.0,zero,0.004016119651204538,0.0
14,0.40640243902439027,0.0,0.08407594837895645,1.0,zero,0.0005456529049794272,1.0842021724855044e-19
15,0.5102367688022283,0.0,0.062175931186498744,1.0,zero,0.0014576110801154858,0.0
16,0.4919077404222049,0.0,0.11791683439777298,1.0,zero,0.005108550322226184,0.0
17,0.44686192468619246,0.0,0.028462247948568924,1.0,zero,0.000313559098233401,0.0
18,0.4107569721115538,0.0,0.14338193492435722,1.0,zero,0.002120618817531243,0.0
19,0.575391032325339,0.0,0.1574384928492766,1.0,zero,0.0021369651429408473,0.0
